name,price,used_for,transmission,colour,make_year,mileage,engine_cc,fuel,kilometer_run,warranty,types
Hyundai | i20 Active S | TDi | 2015 | Hatchback (Hyundai),24.75,Private Use,Manual 2WD,Brown,2015.0,14.0,1400.0,Petrol,42000.0,No Warranty,Sedan
Excellent car on sale (Hyundai),7.5,personal,Auto 2WD,Blue,2005.0,11.0,1399.0,Petrol,87412.0,No Warranty,Sedan
TATA 407 Container (Tata),7.0,personal,Manual -  2WD,White,2013.0,16.0,2956.0,Diesel,60000.0,No Warranty,SUV
4x4 swaraj Mazda (Mahindra),6.0,personal,Manual -  4WD,Unknown,2017.0,20.0,1350.0,Diesel,77676.0,No Warranty,Sedan
i20 Active good for used few time (Hyundai),0.00375,personal,Auto -  2WD,White,2019.0,17.0,1200.0,Petrol,2400.0,No Warranty,Sedan
Tata Sumo Gold 2014 GX (Tata),14.0,personal,Manual 2WD,Silver,2014.0,12.0,2956.0,Diesel,152451.0,No Warranty,SUV
Mega XL hatti gadi (Tata),7.0,personal,Auto 2WD,Brown,2019.0,15.0,889.0,Petrol,80000.0,No Warranty,Hatchback
Maruti Suzuki Alto 2004 On Sale (Maruti Suzuki),5.8,personal,Manual -  2WD,Black,2004.0,18.0,800.0,Petrol,75000.0,No Warranty,Hatchback
Grand i10 magna 2014 (Hyundai),18.45,personal,Manual 2WD,Silver,2014.0,15.0,1200.0,Petrol,31000.0,No Warranty,Sedan
Blue colour 2016 model Baleno (Maruti Suzuki),20.5,private,Auto 4WD,Blue,2016.0,50.0,1200.0,Petrol,41000.0,chaa.,Sedan
WagonR Sell or Rent (Maruti Suzuki),10.25,personal,Manual 2WD,Unknown,2008.0,20.0,1200.0,Petrol,43000.0,No Warranty,Sedan
2010 model red color santro zinc for sale (Hyundai),13.5,personal,Manual -  4WD,Red,2010.0,15.0,1100.0,Petrol,4200.0,No Warranty,Sedan
Mahindra cabking (Mahindra),12.5,personal,Manual 2WD,Unknown,2018.0,20.0,1350.0,Diesel,82022.0,No Warranty,Sedan
2011 model ko kia sportage sales & exchange offer (Kia),32.5,personal,Manual -  4WD,Unknown,2011.0,20.0,1500.0,Diesel,165234.0,No Warranty,Sedan
"2015 model bolero 7 seater 4wd,powerstering sale (Mahindra)",19.5,personal,Manual 4WD,Silver,2015.0,16.0,2500.0,Diesel,65000.0,No Warranty,Sedan
बैंक सुबिधा भएको सस्तो कार सङ्ग पनि सट्टा पट्टा (Mahindra),32.0,like new,Manual -  2WD,Silver,2019.0,15.0,2100.0,Electric,61000.0,no,Sedan
Hyundai I20 Active Diesel 2015 (Hyundai),25.0,personal,Manual 2WD,Brown,2015.0,14.0,1400.0,Diesel,42000.0,No Warranty,Sedan
Isuzu Vcross 2019 (Other Brands),51.0,personal,Manual -  4WD,White,2019.0,16.0,2499.0,Diesel,51000.0,No Warranty,Sedan
